Time (sec),Max Height X,Max Height Y
22.46666667,0.3139750277,0.2840527425
22.5,0.3130508324,0.2873165591
22.53331066,0.3130508324,0.2901683258
22.56666667,0.3142071317,0.2901683258
22.6,0.3110596238,0.2901683258
22.63331066,0.3097094078,0.2985469055
22.66666667,0.3106352418,0.2893744245
22.7,0.3110999465,0.2784938437
22.73331066,0.3115199585,0.2744337416
22.76666667,0.3103308349,0.2654982787
22.8,0.2977676186,0.2734852719
22.83331066,0.2958300413,0.2787768548
22.86666667,0.2925208947,0.2861061377
22.9,0.2917555074,0.2881123478
22.93331066,0.2917555074,0.2785150025
22.96666667,0.2917555074,0.2741249029
23,0.2862506087,0.2809296864
23.03331066,0.281387944,0.2752539673
23.06666667,0.2736286464,0.2822291137
23.1,0.2692941997,0.2920921856
23.13331066,0.2662705898,0.3050348039
23.16666667,0.2766129764,0.3100787396
23.2,0.2772048566,0.3039500438
23.23331066,0.2784877853,0.3028124364
23.26666667,0.2828604194,0.3014980092
23.3,0.2912371218,0.2994630906
23.33331066,0.302317931,0.3088831195
23.36666667,0.3098757639,0.3139764257
23.4,0.3098757639,0.3143521182
23.43331066,0.3110696548,0.317512227
23.46666667,0.3141234074,0.326359578
23.5,0.3050293872,0.3242286999
23.53331066,0.2859575736,0.3175666637
23.56666667,0.2839311571,0.3283181064
23.6,0.2881767646,0.3270127188
23.66666667,0.2748076894,0.3324883732
23.73331066,0.2755275894,0.3349455733
23.76666667,0.2734826006,0.3299733589
23.8,0.2713447006,0.3364094034
23.83331066,0.2696899784,0.3437059051
23.86666667,0.2714602064,0.3532013307
23.9,0.2707598719,0.3381417414
23.93331066,0.2609021031,0.3358409971
23.96666667,0.2579852592,0.3353267294
24,0.2612974349,0.3408225492
24.03331066,0.2662498326,0.3415782058
24.06666667,0.2637256884,0.3343059424
24.1,0.2637256884,0.3412756253
24.13331066,0.2724850596,0.336415165
24.16666667,0.2724850596,0.333313963
24.2,0.2795469526,0.3327902583
24.23331066,0.2858330796,0.3266622579
24.26666667,0.289759184,0.332339169
24.3,0.2873621657,0.3217782547
24.33331066,0.2813222954,0.323364766
24.36666667,0.2853515406,0.3254822336
24.4,0.2849672331,0.3301546489
24.43331066,0.284590424,0.3301546489
24.46666667,0.2830057203,0.3248642581
24.5,0.2993561957,0.327712548
24.53331066,0.3087076955,0.3286429384
24.56666667,0.3037485939,0.3290630346
24.6,0.2949103649,0.3249882307
24.63331066,0.2917839618,0.3218223603
24.66666667,0.3079645056,0.3289333998
24.7,0.3138281873,0.3309710998
24.73331066,0.3003241402,0.3296086928
24.76666667,0.301915945,0.3280609229
24.8,0.304266036,0.3272643394
24.83331066,0.2964625919,0.3317419549
24.86666667,0.2922851159,0.3321616538
24.9,0.2874389379,0.3330920442
24.93331066,0.2953107121,0.3322519511
24.96666667,0.3022100726,0.3318512256
25,0.3058137937,0.3310740129
25.03331066,0.3025152741,0.3311679857
25.06666667,0.309628663,0.3413694987
25.1,0.3044008093,0.335929109
25.13331066,0.3031773716,0.3449857631
25.16666667,0.3015406754,0.3481489513
25.2,0.2904656266,0.3428147528
25.23331066,0.3003742953,0.3440322271
25.26666667,0.3035219522,0.3456285728
25.3,0.3079663926,0.3456285728
25.33331066,0.3038102201,0.3375454214
25.36666667,0.2941119547,0.3414280082
